Время,Имя пользователя,Сообщение
2024-07-31 08:03:44,Ravi20076,Voted for all recent ones
2024-07-31 08:02:16,Ravi20076,"Hello all,

Seeking some help on the below kernels 

https://www.kaggle.com/code/ravi20076/package-dependencies

https://www.kaggle.com/code/ravi20076/packages-datawrangling-v1

https://www.kaggle.com/code/ravi20076/playgrounds4e07-autogluon-starter"
2024-07-31 05:43:16,Неизвестный,
2024-07-31 05:07:10,Неизвестный,"https://www.kaggle.com/code/vimlendusharma/metrics-for-text-similarity

please upvote this"
2024-07-31 04:55:31,Deepashri0796,
2024-07-31 02:35:29,Неизвестный,
2024-07-30 22:23:25,ArashMirhaji,"https://www.kaggle.com/code/heidarmirhajisadati/loan-credit-prediction-model

https://www.kaggle.com/code/heidarmirhajisadati/ai-powered-fraud-detection-in-auditing

https://www.kaggle.com/code/heidarmirhajisadati/overfitting-and-underfitting


Hello all 💫

Could you upvote please my dear friend 😉✅🙏"
2024-07-30 22:21:06,ArashMirhaji,Done ✅
2024-07-30 22:17:00,ArashMirhaji,Done and commented ✅
2024-07-30 22:10:05,ArashMirhaji,Done and Commented ✅
2024-07-30 18:08:05,Arkobera77,
2024-07-30 16:51:40,Неизвестный,"Could you upvote please my dear friend 🙏 

https://www.kaggle.com/code/mehmetisik/sentiment-analysis-twitter-nlp-machine-learning

https://www.kaggle.com/code/mehmetisik/regression-practice-for-beginners-housing-price

https://www.kaggle.com/code/mehmetisik/airbnb-nyc-eda-price-prediction-ml"
2024-07-30 14:59:14,sjrnfnx,https://www.kaggle.com/code/sahityasetu/sentiment-analysis-for-mental-health-monitoring
2024-07-30 14:10:39,Неизвестный,
2024-07-30 11:52:27,Evtechproduct,
2024-07-30 10:43:31,Yash161101,"I am super close to a gold and this notebook. Please upvote

Upvote these too if possible thanks

https://www.kaggle.com/code/yash161101/simple-naive-approach-make-your-first-submission"
2024-07-30 08:14:21,Неизвестный,
2024-07-30 07:52:53,zd_daria,
2024-07-30 03:49:19,rated_un_47,"Good day peeps!
Kindly upvote any 3 notebooks of mine. Let's grow together!

https://www.kaggle.com/naniruddhan/code
Thanks in advance"
2024-07-30 00:31:00,harissaifi,"https://www.kaggle.com/discussions/getting-started/522017..

I think it will be helpful to you guys please enjoy , upvote and comment"
